city_name,lat,temp,humid,cloud,wind_speed
ziro,27.54,281.829,99,88,0.76
alizai,33.94,289.15,55,20,2.1
kabrai,25.4,289.379,51,0,1.16
pahalgam,34.03,257.329,73,24,1.16
amritsar,31.63,290.13,55,0,1.21
shumerlya,55.5,255.954,72,0,4.31
tolaga bay,-38.37,292.429,92,92,0.56
helong,25.94,287.054,99,92,1.31
pandan,11.72,300.454,99,76,8.16
groningen,53.22,277.78,87,90,2.1
bembereke,10.23,299.079,50,8,0.51
bindura,-17.3,290.254,96,20,0.76
ronne,48.45,279.15,87,90,4.1
vanimo,-2.67,300.204,100,68,7.16
mujiayingzi,42.12,267.429,64,24,4.51
oktyabrskoye,56.73,267.079,87,8,3.76
batagay,67.65,237.554,54,8,1.31
faanui,-16.48,301.004,99,92,4.71
moron,10.49,300.15,61,90,2.41
kawambwa,-9.8,292.179,99,64,1.31
teshie,5.58,301.15,78,0,5.1
new norfolk,-42.78,285.15,87,20,3.1
dire dawa,9.59,283.554,86,0,1.06
lasa,34.92,290.15,88,75,3.6
banda aceh,5.56,295.579,100,12,1.06
mackay,53.65,265.66,66,20,2.1
lanuza,9.23,295.604,100,92,1.06
kalmunai,7.42,294.204,98,44,1.56
palauig,15.44,296.254,100,0,1.56
ginda,30.69,276.129,53,0,1.56
natitingou,10.31,304.15,35,20,1.5
petropavlovsk-kamchatskiy,53.05,261.15,55,20,4
resistencia,-27.45,304.68,48,75,6.7
xining,36.62,265.479,94,88,0.11
nemuro,43.32,269.554,100,0,7.11
cockburn town,21.46,304.15,74,40,9.3
kavieng,-2.57,300.629,100,12,4.21
anito,12.45,300.504,99,88,7.66
bang saphan,11.21,299.104,96,36,2.16
sheregesh,52.93,256.979,61,8,0.96
otane,-39.89,288.229,100,92,2.16
vikhorevka,56.12,253.15,64,0,3
de-kastri,51.48,256.129,100,0,4.51
aklavik,68.22,260.62,77,75,1.5
okhotsk,59.36,260.254,100,64,2.51
kendari,-3.99,296.254,97,56,1.16
suhbaatar,50.23,248.429,37,0,1.26
kawalu,-7.38,292.629,98,48,0.86
luderitz,-26.65,294.15,73,0,9.8
chulman,56.84,250.754,59,32,2.81
hambantota,6.12,299.204,100,32,4.06
boende,-0.28,295.879,97,24,0.96
kosovo polje,43.8,277.15,100,32,1.5
sistranda,63.73,270.15,58,20,3.6
berlevag,70.86,264.17,92,90,2.6
taksimo,56.36,249.004,34,24,1.21
znamenskoye,57.13,276.504,95,32,9.11
karacakoy,41.4,284.64,87,0,4.6
stalowa wola,50.57,274.15,95,75,6.2
belyy yar,53.6,253.15,83,56,1
hermanus,-34.42,290.929,87,68,2.16
verkhnevilyuysk,63.45,248.104,82,56,2.06
prokudskoye,55.01,271.15,68,0,9
zenzeli,45.92,265.554,82,0,3.36
capao da canoa,-29.75,297.004,100,56,7.86
srednekolymsk,67.46,246.204,49,36,2.11
sinalunga,43.21,281.15,93,40,1
goderich,43.74,274.054,70,92,7.36
mount gambier,-37.83,285.304,89,0,1.66
havoysund,71,261.15,55,0,1
postojna,45.78,278.16,100,75,1
parabel,58.71,268.229,80,36,6.61
port hedland,-20.31,301.15,88,40,2.1
georgetown,6.8,302.15,74,40,8.2
amta,22.58,298.15,57,24,2.6
ca mau,9.18,298.179,100,48,3.76
maruko,36.32,262.679,70,8,0.76
coripata,-16.31,283.15,76,75,3.6
kirakira,-10.46,300.954,100,32,0.86
eregli,37.51,276.804,77,24,1.21
albany,42.65,279.15,41,20,2.1
pozo colorado,-23.49,298.429,87,92,6.41
sirjan,29.44,276.004,46,8,1.21
hirara,24.8,294.004,100,68,6.61
kyshtovka,56.56,276.579,91,92,9.16
guarda,40.54,277.379,95,48,3.91
bandarbeyla,9.49,298.229,100,0,7.26
galesong,-5.32,297.15,100,20,0.5
dzilam gonzalez,21.28,306.379,34,0,3.01
shache,38.42,273.729,76,8,1.66
anuradhapura,8.34,294.054,95,0,2.06
peking,52.08,275.15,74,92,1.5
taga,35.21,278.15,65,75,5.1
vanavara,60.35,252.254,83,48,1.96
hamilton,32.3,290.15,67,40,11.8
blagoyevo,63.37,260.679,61,56,4.46
kungurtug,50.6,248.179,48,0,1.16
mangan,27.5,262.354,62,0,1.16
dongsheng,29.72,277.854,100,100,6.36
lata,30.78,276.129,53,0,1.56
ningbo,29.88,282.15,93,75,2
zhangjiakou,40.77,266.229,84,44,1.41
bambous virieux,-20.34,300.15,78,40,4.1
los llanos de aridane,28.66,292.15,82,20,1
adilabad,19.68,298.429,45,48,2.21
mochishche,55.16,271.15,68,0,9
dhidhdhoo,6.88,301.254,100,48,1.51
ribeira grande,38.52,289.15,93,75,7.7
shirokiy,53.87,262.129,86,80,4.01
panji,32.78,277.229,87,68,6.16
sidhi,24.41,290.204,47,0,1.51
karauli,26.5,286.129,59,0,1.31
mwinilunga,-11.73,294.054,75,88,0.91
floro,61.6,269.08,54,0,4.6
kandrian,-6.21,297.129,99,24,1.46
shestakovo,56.49,247.329,42,0,2.21
tongzhou,32.07,280.604,94,92,4.81
veraval,49.65,279.15,93,90,2.6
dedougou,12.47,302.379,21,32,3.91
kirkenes,69.73,261.55,77,75,2.1
pyaozerskiy,65.83,257.704,70,68,1.06
lazarev,52.23,252.579,55,0,3.76
broken hill,-31.97,290.104,87,0,3.71
zyryanka,65.73,247.729,64,76,3.66
rikitea,-23.12,299.729,100,48,5.76
pundaguitan,6.37,300.454,100,0,3.51
eppingen,49.14,278.6,65,75,1
nome,30.04,293.63,18,1,4.6
sambava,-14.27,299.954,100,92,6.26
purbalingga,-7.39,294.804,98,36,0.96
port blair,11.67,301.179,100,0,1.51
kadhan,24.48,290.479,39,0,1.61
russell,-33.01,302.15,25,20,3.6
forbes,-33.38,288.254,78,0,3.16
mildura,-34.18,292.179,55,0,6.26
margate,-43.03,285.15,87,20,3.1
bay-khaak,51.16,252.854,68,0,1.21
poya,-21.35,298.954,100,80,11.41
kurumkan,54.33,237.154,50,0,0.91
nizhnevartovsk,60.93,267.15,85,56,10
catuday,16.29,298.429,100,0,2.66
abu dhabi,24.47,294.15,73,0,1.61
sibu,2.29,298.15,94,75,1
tomaszow lubelski,50.45,273.954,96,64,3.11
kodiak,39.95,274.15,80,75,11.8
port elizabeth,39.31,280.17,42,75,2.1
sicuani,-14.27,283.929,65,68,2.46
muzaffarabad,34.37,275.504,75,0,0.96
krapivinskiy,55,266.15,85,0,3
san policarpo,12.18,298.554,100,76,5.21
ejura,7.38,297.729,76,20,0.91
naze,5.43,299.15,78,75,1.5
moindou,-21.69,298.15,100,75,5.1
ritchie,-29.03,291.929,82,44,4.01
nenagh,52.86,278.15,86,75,3.1
esperance,10.24,303.15,74,40,7.2
eyl,7.98,297.104,98,0,7.26
klaksvik,62.23,272.15,86,36,4.6
camabatela,-8.19,290.204,71,0,1.61
jiayuguan,39.77,262.804,73,0,0.51
hofn,64.25,273.579,100,0,9.71
malayal,7.21,300.079,99,0,5.66
srandakan,-7.94,294.129,98,48,1.31
yumen,40.29,269.054,61,0,3.46
lashio,22.93,287.204,84,0,0.81
thinadhoo,0.53,302.254,99,36,3.46
kargil,34.56,252.254,78,24,0.61
nyurba,63.29,249.079,75,56,1.86
pangnirtung,66.15,250.15,83,75,1
narasannapeta,18.42,293.329,100,68,1.21
alipur,29.38,290.679,63,0,1.56
iganga,0.62,291.379,97,68,3.36
zurrieq,35.83,286.15,82,0,3.6
sao joao da barra,-21.64,303.15,66,40,4.1
